Entity,languages,Affiliation,English,Spanish,EN_sentiment,ES_sentiment,sentimentDiff_EN-ES,sentimentDiff_ES-EN
Joe Biden,es,D,ALERTA PARA LA ELECCIN,ALERTA PARA LA ELECCIÓN: ¡Hoy puede votar si vive en Florida!\n\nNo espere otro día para votar fuera  a Trump. Votar temprano es fácil  y conveniente en Florida. Presione abajo para encontrar su centro de votación ahora.,3.9501,2.9987,0.9514,-0.9514
Joe Biden,es,D,ALERTA PARA LA ELECCIN,ALERTA PARA LA ELECCIÓN: ¡Hoy puede votar si vive en Florida!\n\nNo espere otro día para votar fuera a Trump. Votar temprano es fácil y conveniente en Florida. Presione abajo para encontrar su centro de votación ahora.,3.9501,2.9987,0.9514,-0.9514
Joe Biden,es,D,Por eso estoy contando con usted para que,"Estamos en una batalla por el alma de nuestra nación. Lo he repetido muchas veces desde que lanzamos esta campaña:\n \nEl tiempo  se está acabando  y las encuestas nos reportan muy cerca, la única forma de vencer a Donald Trump es si cada uno de nosotros votamos este año. ¡Por eso estoy contando con usted para que encuentre su centro de votación y se comprometa a votar temprano hoy!",3.2571,4.0164,-0.7593000000000001,0.7593000000000001
Joe Biden,es,D,URGENTE: Hoy puede,"URGENTE: ¡Hoy puede mandar su boleta de votación por Joe y Kamala!\n\nAhora puede votar temprano en Florida, no espere más presione abajo para encontrar dónde puede votar.",3.8649,2.7483,1.1166,-1.1166
Joe Biden,es,D,HOY puede votar!,¡HOY puede votar! No espere otro día para mandar su boleta por Joe Biden encuentre su centro de votación para votar temprano.,4.2939,3.0632,1.2306999999999997,-1.2306999999999997
Joe Biden,es,D,Puede votar HOY!,¡Puede votar HOY! No espere otro día para mandar su boleta por Joe Biden. Encuentre su centro de votación más cercano.,4.3421,3.9019,0.44020000000000037,-0.44020000000000037
Joe Biden,es,D,Tenemos en nuestro poder tomar,Tenemos en nuestro poder tomar la decisión que determinará el curso de nuestro país los próximos cuatro años. \n\nVayan a voyavotar.com para hacer un plan para votar temprano hoy.,4.3045,4.0468,0.2576999999999998,-0.2576999999999998
Joe Biden,es,D,Si usamos nuestro voto y nu,"Si usamos nuestro voto y nuestra voz, vamos a ganar.\n\nVayan a voyavotar.com para hacer un plan para votar temprano.",2.3633,2.5791,-0.21579999999999977,0.21579999999999977
Joe Biden,es,D,Por quién vas a vot,¿Por quién vas a votar en esta elección? Sólo con nombrarlo tienes la respuesta.,3.2806,2.3684,0.9122000000000003,-0.9122000000000003
Joe Biden,es,D,Nuestro futuro no puede ser cancela,Nuestro futuro no puede ser cancelado. Tenemos que votar en esta elección y votaremos por Joe Biden y Kamala Harris.,3.8992,4.1467,-0.24750000000000005,0.24750000000000005
Joe Biden,es,D,"Y t, por quién vas a votar?","Ya tienes su respuesta. ¿Y tú, por quién vas a votar?",2.4264,2.7236,-0.2971999999999997,0.2971999999999997
Joe Biden,es,D,es to en es to en es to en,Joe Biden. El nombre ofrece la respuesta. La respuesta revela la opción.,3.2905,3.8057,-0.5151999999999997,0.5151999999999997
Joe Biden,es,D,"Hoy, en este punto crucial de la","Hoy, en este punto crucial de la historia, convocamos a los electores puertorriqueños en Estados Unidos a apoyar el Plan de Biden para Puerto Rico.",4.3246,4.1334,0.19120000000000026,-0.19120000000000026
Joe Biden,es,D,Por tu bienestar y el,Por tu bienestar y el de tu seres queridos. Es hora de salir a votar.,4.4339,4.5956,-0.16169999999999973,0.16169999999999973
Joe Biden,es,D,Por una economa que funcione,Por una economía que funcione para todos. Es hora de salir a votar.,3.1293,4.3987,-1.2693999999999996,1.2693999999999996
Joe Biden,es,D,El Nuevo Da confirma que está del lado del,"Al endosar el Plan Biden para Puerto Rico, El Nuevo Día confirma que está del lado del avance de nuestros valores democráticos más sagrados, siendo uno de ellos el respeto a la dignidad humana, sin importar raza, credo o condición económica.",2.6484,4.3337,-1.6853000000000002,1.6853000000000002
Joe Biden,es,D,es a en: Por todo lo que atesoras,Por todo lo que atesoras. Es hora de salir a votar.,3.9468,4.3857,-0.43889999999999985,0.43889999999999985
Joe Biden,es,D,"como padre de un militar, Joe","Como padre de un militar, Joe sabe que la obligación a nuestras tropas durante, y después de su servicio, es sagrada. Esa es una obligación que Joe honrará.",3.7553,4.4556,-0.7002999999999995,0.7002999999999995
Joe Biden,es,D,En Texas queremos un presidente con estabilidad,"En Texas queremos un presidente con estabilidad, experiencia y un plan para mejorar las cosas -- ese es Joe Biden.",3.6307,3.7546,-0.1238999999999999,0.1238999999999999
Joe Biden,es,D,Joe Biden escuchará a los experto,Joe Biden escuchará a los expertos para que podamos reiniciar de manera segura la economía de Texas.,3.3026,3.6231,-0.3205,0.3205
Joe Biden,es,D,"como padre de un militar, Joe","Como padre de un militar, Joe sabe que la obligación a nuestras tropas durante, y después de su servicio, es sagrada. Esa es una obligación que Joe honrará.",3.7553,4.4556,-0.7002999999999995,0.7002999999999995
Joe Biden,es,D,"Como presidente, la prioridad de Joe Biden","Como presidente, la prioridad de Joe Biden siempre será defender nuestra democracia.",3.7188,4.1498,-0.43100000000000005,0.43100000000000005
LUCHA - Living United for Change in Arizona,es,D,es to de es to de es to Joe Biden for President,"Your vote for Joe Biden for President will put hardworking families like yours first in our economic recovery, protect people with preexisting conditions and expand access to healthcare.', 'Su voto por Joe Biden para presidente pondrá a familias trabajadoras como la suya primero en nuestra recuperación económica, protegerá a las personas con condiciones preexistentes y ampliará el acceso a la atención médica.', 'Su voto por Joe Biden para presidente pondrá a familias trabajadoras como la suya primero en nuestra recuperación económica, protegerá a las personas con condiciones preexistentes y ampliará el acceso a la atención médica.', 'Your vote for Joe Biden for President will put hardworking families like yours first in our economic recovery, protect people with preexisting conditions and expand access to healthcare.', 'Your vote for Joe Biden for President will put hardworking families like yours first in our economic recovery, protect people with preexisting conditions and expand access to healthcare.",3.3295,4.1155,-0.786,0.786
LUCHA - Living United for Change in Arizona,es,D,,"Su voto por Joe Biden para presidente pondrá a familias trabajadoras como la suya primero en nuestra recuperación económica, protegerá a las personas con condiciones preexistentes y ampliará el acceso a la atención médica.', 'Your vote for Joe Biden for President will put hardworking families like yours first in our economic recovery, protect people with preexisting conditions and expand access to healthcare.', 'Su voto por Joe Biden para presidente pondrá a familias trabajadoras como la suya primero en nuestra recuperación económica, protegerá a las personas con condiciones preexistentes y ampliará el acceso a la atención médica.', 'Your vote for Joe Biden for President will put hardworking families like yours first in our economic recovery, protect people with preexisting conditions and expand access to healthcare.', 'Your vote for Joe Biden for President will put hardworking families like yours first in our economic recovery, protect people with preexisting conditions and expand access to healthcare.",3.4453,3.9741,-0.5287999999999999,0.5287999999999999
Adams County Democratic Party,es,D,Su voto es su voz!,Su voto es su voz!,4.103,4.103,0.0,0.0
Joe Biden,es,D,,"ACTUALIZACIÓN ELECTORAL: ¡Joe y Kamala no pueden ganar sin tu ayuda!\n\nEsta es la elección más importante de nuestra vida, y necesitamos que todos los demócratas voten. Entonces por favor, toma solo 3 minutos ahora para pedir tu boleta para votar desde la casa.",3.4453,2.7403,0.7050000000000001,-0.7050000000000001
Joe Biden,es,D,nnNo pierdas la oportunidad de votar por Joe,"URGENTE: ¡El plazo final para registrarse para votar en Pensilvania es el lunes, 19 de octubre!\n\n¡No pierdas la oportunidad de votar por Joe y Kamala este año – presiona abajo para revisar tu registro de votación ahora antes del plazo final!",1.7693,1.7441,0.02520000000000011,-0.02520000000000011
Democratic Party,es,D,ACTE YA: Regs,ACTÚE YA: ¡Regístrese hoy para recibir su boleta de votación! \n\n¡Lo mejor que puede hacer para ayudar a que Joe Biden y Kamala Harris ganen este año es registrarse hoy para votar por correo en Pennsylvania!,1.7554,3.9932,-2.2378,2.2378
Democratic Party,es,D,ACTE YA: Regs,ACTÚE YA: ¡Regístrese hoy para recibir su boleta de votación! \n\n¡Lo mejor que puede hacer para ayudar a que Joe Biden y Kamala Harris ganen este año es registrarse hoy para votar por correo en Michigan!,1.7554,4.0601,-2.3047000000000004,2.3047000000000004
Joe Biden,es,D,ACTUALIZACIN ELECTOR,"ACTUALIZACIÓN ELECTORAL: !Joe y Kamala no pueden ganar sin tu ayuda!\n\nEsta es la elección más importante de nuestra vida, y necesitamos que todos los demócratas voten en grandes números. Entonces por favor, toma solo 3 minutos ahora para pedir tu boleta para votar desde casa.",3.6967,3.0589,0.6377999999999999,-0.6377999999999999
Joe Biden,es,D,ACTE YA: Regs,ACTÚE YA: ¡Regístrese hoy para recibir su boleta de votación! \n\n¡Lo mejor que puede hacer para ayudar a que Joe Biden y Kamala Harris ganen este año es registrarse hoy para votar por correo en Arizona!,1.7554,4.0556,-2.3002000000000002,2.3002000000000002
Joe Biden,es,D,ACTE YA: Regs,ACTÚE YA: ¡Regístrese hoy para recibir su boleta de votación! \n\n¡Lo mejor que puede hacer para ayudar a que Joe Biden y Kamala Harris ganen este año es registrarse hoy para votar por correo en Florida!,1.7554,4.025,-2.2696000000000005,2.2696000000000005
Joe Biden,es,D,Cientos de militares retirados,Cientos de militares retirados y líderes de seguridad nacional se unen para apoyar a Biden como la mejor opcion para liderar.,2.451,4.1674,-1.7163999999999997,1.7163999999999997
Joe Biden,es,D,Necesitamos su ayuda,"Necesitamos su ayuda para elegir a Joe Biden y poner a nuestro país en orden. No más juegos. ¡No hay tiempo que perder, regístrese para votar ahora mismo!",3.032,3.8167,-0.7847,0.7847
Salvadoreños con Biden,es,D,"s to de, this Monday, 7 September, on Labor Day to participate and listen","Join us, this Monday, September 7th on Labor Day to participate and listen to some talented, successful and union-proud labor leaders.\n\nThe panel will share their stories, perspectives, and reasons why working families should support Joe Biden for President. \n\nPlease RSVP to receive the zoom link:  \nhttps://www.mobilize.us/joebiden/event/316836/\n\nOn this Labor Day, let’s continue honoring the American worker by celebrating all essential workers on the front line. Make sure to thank a worker today!  #staystrongandsafe 😷 💪🏾  \n\nWe look forward to seeing you virtually this upcoming Monday! \n\n¡Si Se Puede! ✊🏾✨🇺🇸\n\n***Names of Unions and Organizations are for identification purposes only.***\n——\n\nÚnase a nosotros este lunes 7 de septiembre en el Día del Trabajo para participar y escuchar a líderes sindicalistas talentosos, exitosos y orgullosos. \n\nEl panel compartirá sus historias, perspectives y razones por que las familias trabajadoras deberían apoyar a Joe Biden para presidente.\n\nConfirme su asistencia para recibir el enlace de zoom:  \nhttps://www.mobilize.us/joebiden/event/316836/\n\nEn este Día del Trabajo, continuemos honrando al trabajador celebrando a todos los trabajadores esenciales en la primera línea.  \n\n¡Asegúrese de agradecerle a un trabajador hoy!  😷 💪🏾\n\n¡Esperamos verlos virtualmente este lunes!\n\n ¡Si Se Puede!  ✊🏾✨🇺🇸",4.1061,3.4356,0.6704999999999997,-0.6704999999999997
Jason Brodeur,en,R,I'm proud to have the endorsement of Governor DeSantis! Click below to find your polling location and get ready to vote on Election Day.,"Ich bin stolz, die Unterstützung von Governor DeSantis",4.6223,4.5811,0.0411999999999999,-0.0411999999999999
Miami's Community Newspapers,en,R,"Bob Powers talks with Professor Sean Foreman, Dept. Chair of History and Political Science at Barry University","Bob Powers talks with Professor Sean Foreman, Dept",3.7009,3.7555,-0.054600000000000204,0.054600000000000204
Jason Brodeur,en,R,I'm proud to have endorsement of Governor DeSantis! Click below to find your polling location and get ready to vote on Election Day.,"Ich bin stolz, Governor DeSantis zu unterstützen!",4.6214,4.7645,-0.14309999999999956,0.14309999999999956
"Elizabeth Fetterhoff for State House, District 29",en,R,#YoureBetterOffWithFetterhoff\nHello! Come meet State Legislature Elizabeth Fetterhoff and learn why #YoureBetterOffWithFetterhoff \n\n#BetterOffWithFetterhoff #bowf #ReElectElizabethFetterhoffHouseDistrict26 #HouseDistrict26 #Campaign2020 #deland #delandflorida #orangecity #orangecityfl #HollyHill #campaigns #ormondbeach #ormondbeachfl #daytonabeach #Daytona #daytonabeachflorida #southdaytona #downtowndeland #election2020 #ElizabethFetterhoff #delandfl #volusiacounty\n#ArmyVeteran,#YoureBetterOffWithFetterhoffn,2.6713,3.3637,-0.6924000000000001,0.6924000000000001
Kevin Van Ostenbridge-Manatee County Commission District 3,en,R,I had a fantastic opportunity to meet with Governor Ron DeSantis last week. We had a great conversation about the importance of keeping our schools and our economy open. Thank you Governor!,"Ich hatte die Gelegenheit, letzte Woche mit Governor Ron DeS",4.7818,3.8768,0.9049999999999998,-0.9049999999999998
Step Up For Students,en,R,"Step Up For Students is celebrating a monumental milestone: The funding of its 1 millionth scholarship!\n\nHear from scholarship students and families, Florida Gov. Ron DeSantis, former Florida Gov. Jeb Bush, House Speaker Designate Rep. Chris Sprowls, Step Up For Students Chairman and Founder John Kirtley, Step Up For Students President Doug Tuthill and other special guests as we are marking this special occasion.",en to es is celebrating a monumental milestone: The funding of its 1 million,4.6328,4.4181,0.21469999999999967,-0.21469999999999967
AJC - American Jewish Committee,en,R,"WATCH NOW: What are the issues on the minds of American Jews as they approach the 2020 election?\n \nJoin us as Republican Jewish Coalition Exec. Dir. Matt Brooks and Jewish Democratic Council of America Exec. Dir. Halie Soifer debate this key question and others. \n\nThe debate will be moderated by AJC’s Chief Policy and Political Affairs Officer Jason Isaacson.\n \nTo view past AJC Advocacy Anywhere programs and sign up for future events, go to AJC.org/AdvocacyAnywhere.",: WATCH NOW: Care sunt problemele care se află în mintea,2.4812,3.5329,-1.0517000000000003,1.0517000000000003
Step Up For Students,en,R,"Step Up For Students is celebrating a monumental milestone: The funding of its 1 millionth scholarship!\n\nIf you missed our live-streaming event, you can watch the video now.\n\nHear from scholarship students and families, Florida Gov. Ron DeSantis, former Florida Gov. Jeb Bush, House Speaker Designate Rep. Chris Sprowls, Step Up For Students Chairman and Founder John Kirtley, Step Up For Students President Doug Tuthill and other special guests as we are marking this special occasion.\n\n#1MillionStepUpScholarships #EdChoice",Step Up For Students celebrates a monumental milestone: The funding of its 1 millionth scholarship,4.1883,4.6952,-0.5068999999999999,0.5068999999999999
American Legislative Exchange Council,en,R,Congratulations to Florida Governor Ron DeSantis for being awarded as one of America's FIVE STAR Governors from the Laffer-ALEC Report on Economic Freedom: Grading America’s 50 Governors .,en to es gratulieren dem Florida Governor Ron DeSantis für,3.906,4.0591,-0.1530999999999998,0.1530999999999998
Linda Thompson Gonzalez for FL House 93,en,R,"Our Governor, Ron DeSantis, has failed to protect Floridians from COVID. Broward County alone has over 80,000 cases. Chip LaMarca has blindly defended our Governor, not our community. We need new leadership for a better Broward County. Vote Chip LaMarca out!",en to es en to es es es,1.4851,3.1966,-1.7115,1.7115
Progressives Working Together,en,R,"HELPING TRUMP’S BUDDIES IS JOB NO.1 FOR TRUST\nThe Republican-run Everglades Trust continues to support Ron DeSantis and Brian Mast, Trump’s main allies in the fight to control Florida.         The GOP-backed Trust and the groups it funds have pulled out all of the stops for Trump’s supporters, buttressing his re-election campaign and exposing the Trust for what it really is: a Republican-re-election vehicle. The Republicans who run the Everglades Trust cannot be Trusted. And the Trust continues to run ads in support of Brian Mast, the Republican whose jokes about raping 15-year-olds made national headlines, but still has not resigned. Remember, in 2018, the Everglades Trust spent untold amounts of money fighting against the Democratic candidate for Governor, and they are preparing to do it again in 2022.\nThe Trust is RUN BY REPUBLICANS.\nIt’s time for Democrats to Stop Trusting the Trust.",: HELPING TRUMP’S BUDDIES IS JOB NO.,3.3109,2.4753,0.8356000000000003,-0.8356000000000003
Florida Democratic Party,en,R,"Donate to help us fight Republican voter suppression and make sure returning citizens can vote safely and securely this November.', 'Roughly 1,000,000 Floridians thought they’d finally won the right to vote in 2018. But then Republican Governor Ron DeSantis signed a modern-day poll tax. Donate to fight back:', 'WATCH: This is a modern-day poll tax. Donate to stop Republican voter suppression:', '🆘This is a modern-day poll tax. Donate to expand our record-breaking field program and make sure Republicans can’t scare us from voting.', 'Republican Governor Ron DeSantis signed a law undoing the re-enfranchisement of 1 million Floridians - a modern-day poll tax. Donate to fight back:","to es, donate to help us fight Republican voter suppression and make sure returning",2.6253,2.6065,0.01880000000000015,-0.01880000000000015
Know Who You Are Voting For,en,R,From Jeff Barbeau:,From Jeff Barbeau:,3.5008,3.5008,0.0,0.0
The Dean Obeidallah Show,en,R,Trump and GOP Can’t win with their ideas so now they are focused on CHEATING!,Trump und GOP Can’t win with their ideas so now,1.6452,2.8733,-1.2281,1.2281
Suzanne Atwell Show,en,R,"Florida has played a critical role in the most controversial elections in American history.  What should we look for this time, how is racism impacting who votes, and why the experts are debunking election fraud propaganda.  The 2020 Election in this edition of the Suzanne Atwell Show.\n\nSarasota County Supervisor of Elections, Secretary of State of Florida, American Civil Liberties Union, Christian Coalition of America - America's Path to Progress Energy Campaign, Freedom Partners, U.S. 11th Circuit Court of Appeals Opinions & Summaries from Justia.com, Florida Supreme Court, Florida Government Bar Association, ACLU of Florida, ACLU of  Fl. Sarasota Chapter, Florida Rights Restoration Coalition, City of Sarasota, Sarasota Herald-Tribune, Sarasota County Government, Greater Sarasota Chamber, Sarasota County Democratic Party, Republican Club of South Sarasota County, Gulf Coast Community Foundation, The Patterson Foundation, Sarasota Observer, @ABC7 Sarasota - WWSB, SNN, The Suncoast News Network, WEDU Public Media",en to es en to es en to es Florida,2.6996,3.0406,-0.34099999999999975,0.34099999999999975
Florida Democratic Party,en,R,"Roughly 1,000,000 Floridians thought they’d finally won the right to vote in 2018. But then Republican Governor Ron DeSantis signed a modern-day poll tax. Donate to fight back:', 'WATCH: This is a modern-day poll tax. Donate to stop Republican voter suppression:', '🆘This is a modern-day poll tax. Donate to expand our record-breaking field program and make sure Republicans can’t scare us from voting.', 'Republican Governor Ron DeSantis signed a law undoing the re-enfranchisement of 1 million Floridians - a modern-day poll tax. Donate to fight back:', 'ActBlue Express donate to help us fight Republican voter suppression and make sure returning citizens can vote safely and securely this November.', 'Roughly 1,000,000 Floridians thought they’d finally won the right to vote in 2018. But then Republican Governor Ron DeSantis signed a modern-day poll tax. ActBlue Express donate to fight back:', 'WATCH: This is a modern-day poll tax. ActBlue Express donate to stop Republican voter suppression:', '🆘This is a modern-day poll tax. ActBlue Express donate to expand our record-breaking field program and make sure Republicans can’t scare us from voting.', 'Republican Governor Ron DeSantis signed a law undoing the re-enfranchisement of 1 million Floridians - a modern-day poll tax. ActBlue Express donate to fight back:","es: Roughly 1,000,000 Floridians thought they’d finally",2.1747,2.3049,-0.13019999999999987,0.13019999999999987
Alianza for Progress,en,R,"President Donald Trump found a new applause line at his Florida rally this week: “Normal life. O! I love normal life. We want to get back to normal life.” The next day, Florida Gov. Ron DeSantis moved to deliver on that promise — or the appearance of it.",Präsident Donald Trump hat bei seiner Florida-Really,2.4807,3.57,-1.0892999999999997,1.0892999999999997
Demos,en,R,"🚨🗣BREAKING: Yesterday was the #VoterRegistrationDeadline in #Florida. Yet, online systems were down most of the day. \n\nTogether with Advancement Project National Office LatinoJustice PRLDEF we're suing on behalf of The New Florida Majority Dream Defenders Organize Florida Florida Immigrant Coalition to force Governor Ron DeSantis and Florida Secretary of State extend the deadline.\n\nRead more: bit.ly/3dgahnb",BREAKING: Yesterday was the #Vo,1.9544,2.346,-0.39160000000000017,0.39160000000000017
Opportunity For All Floridians,en,R,"BREAKING: Your action made a difference! Governor DeSantis extended the #VoterRegistration deadline until 7 pm TONIGHT following yesterday’s website crash. Please spread the word ⬇️', 'BREAKING: Governor DeSantis extended the #VoterRegistration deadline until 7 pm TONIGHT following yesterday’s website crash. Please spread the word!', Florida's voter registration deadline EXTENDED until 7 pm tonight following yesterday’s website crash. Please spread the word!",BREAKING: Your action made a difference! Governor,1.604,4.2081,-2.6041,2.6041
Luke Macias,en,R,"Greg Abbott rolled out anti-riot legislation, following the lead of Florida Governor Ron Desantis. Today Matt Rinaldi compares the two plans. It is remarkable when you see exactly what Abbott left out of his plan. As you listen you should ask yourself why he watered down Desantis's plan so much.\n\nhttps://lukemacias.com/a-conversation-with-texas-attorneys-warren-norred-and-matt-rinaldi/\n\nTunes: https://apple.co/2kJls0u\nYoutube: https://youtu.be/U82IOvIBFTg",en to es en to es Greg Abbott rolled out anti-,3.1595,2.3096,0.8498999999999999,-0.8498999999999999
Florida Democratic Party,en,R,Donate to help us fight Republican voter suppression and make sure returning citizens can vote safely and securely this November.,de es en to es Donate to help us fight Republican voter suppression,4.3286,3.0854,1.2431999999999999,-1.2431999999999999
Miami's Community Newspapers,en,R,"Bob Powers and David Winker talk with Nelson Diaz, the chair of the RNC for Miami-Dade County.","Bob Powers und David Winker sprechen mit Nelson Diaz, dem Vorsitzenden des R",3.7734,3.6816,0.0918000000000001,-0.0918000000000001
Ray Sandelli,en,R,Its time to let our local businesses get back to serving our community again. Return your ballot for Ray Sandelli today!,de las es es a es a es,3.4831,2.6138,0.8693,-0.8693
Chris Latvala,en,R,I challenged the system...and won. Child welfare must work for EVERY child. Now Pinellas kids are safe because of the real reforms brought forward by Jordan's Law.,Ich habe das System angefochten...und gewonnen,3.9773,4.2084,-0.23110000000000008,0.23110000000000008
Animal Matters,en,R,Governor Ron DeSantis has signed a measure into law banning the import and export of shark fins in Florida...The United States (government) has outlawed shark finning but not trading in those fins.\n\nHow You Can Help Stop Shark Finning https://www.wired.com/2010/09/stop-shark-finning/,en to es Governor Ron DeSantis hat eine Maßnahme in Kraft,1.779,4.2317,-2.4527,2.4527
FloridaPolitics,en,R,The Governor of Florida has decided which lives matter to him.,de la es a es a es a e,3.7111,2.7625,0.9485999999999999,-0.9485999999999999
Anton Andrew for State Representative,en,R,"One more reason to be thankful that we live in Pennsylvania and that Governor Tom Wolf is fighting to keep all of us safe.\n\nThe biggest threat to our economy right now is a 2nd wave of COVID infections sweeping across our state. \n\nGovernor Wolf and I understand that.\n\nThis is a time when it is far better to be safe than sorry.\n\n#StaySafe,\n\n-Anton\n\nwww.AntonAndrew.com\n\nThe 160th PA House District includes Bethel, Chadds Ford, Concord, Kennett Square, Kennett Township, Pennsbury, Pocopson and parts of Upper Chichester.\n\n#StandWithAnton",en to es en to es en to es,2.6019,3.1241,-0.5221999999999998,0.5221999999999998
"Hivotec, Hispanic Voters Coalition",en,R,"REPLY TO: RE: Judge Bárbara  Lagoa  \n\nLawyers for Good Government\n10685-B Hazelhurst Dr.\n#19646\nHouston, TX 77043\nUnited States\n\nThis National Association for Foreign Attorneys “NAFALAW.COM” was founded in 1993 by a Cuban/American, Dr. Humphrey Humberto Pachecker JD LLM professor of law and a staunch anti-communist and anti-Castro.\nWe celebrate who is the Honorable Bárbara Lagoa, the Cuban/American judge that President Donald J. Trump considers for the US Supreme Court.\nJudge Bárbara  Lagoa  has an excellent background in Miami with a honorable law practice profile. She was born in this Florida city to parents who fled  the  communist government of Fidel Castro and grew up bilingual and conservative. \nNow we hope she will be the first Cuban/American born judge on the  Court  Supreme  of  United States.\nPresident Donald J. Trump  confirmed Monday that  Lagoa , 52, is one of the five judges shortlisted  to  replace  the Honorable Ruth Bader Ginsburg, progressive and feminist judge of the  US  Supreme Court who died Friday  at  age 87.\nJudge Lagoa  is part of the  Court  of Appeals of Atlanta, she was judge of the  Supreme  Court of Florida. As an attorney she defended in pro bono in Miami  to  the family  of the  rafter  Elián  González , 20 years ago.\nIf appointed, she would become a credit and the second Hispanic judge after Sonia Sotomayor, of Puerto Rican origin, of the nine judges that make up the largest US Supreme Court. She would also be the only conservative of the three female magistrates.\n“She is excellent. She is Hispanic. She is a wonderful woman, as far as I know. I don\'t know her. Florida; we love Florida, ” Trump told   Fox Channel Monday.\nBorn in 1967, Judge Lagoa  grew up in Hialeah, a low-income Cuban town in West Miami. His parents had fled  from the  Castroism in the second migratory wave that eventually gave a distinctive Cuban flavor  to  this city  of the  south of Florida.\nShe is the mother of three daughters, she attended a Catholic school in Hialeah and then Florida International University, before graduating as a lawyer from the prestigious Columbia University in New York in 1992.\nJudge Lagoa  was part  of the  legal pro bono team that represented  to  the Miami relatives of  Elián  González, the little 5 year old was claimed by his father in Cuba after the died mother in the wreckage of the raft with which escaped with his son  to  late 1999.\nJudge Lagoa  continued to climb the ranks until, in January 2019, she became the first Hispanic and the first Cuban/American to be a judge on    the Florida Supreme Court, nominated by Republican Governor Ron DeSantis.\nLess than a year later,  President Trump  elected her as judge on the Atlanta Federal Court of Appeals. His appointment was confirmed by a bipartisan majority in the Senate, with 80 votes  in  favor and only 15 against.\nAs a judge on the appeals court, she made a ruling that can suppress the suffrage of tens of thousands of former Florida convicts, who will now be required  to  pay their court fines before they can register  to  vote.\n We strongly support the Honorable Bárbara Lagoa\nYours truly,  Humphrey H. Pachecker. www.nafalaw.com\n..........................................................................................................................................\n\n On Wednesday, September 23, 2020, 03:29:16 PM PDT, Traci Feit Love (L4GG) <support@lawyersforgoodgovernment.org> wrote:\n\nHumphrey, NAFA LAW:\nWe’re writing to keep you informed about what we’re working on and to ask for your help preparing for potential SCOTUS nominees. \n1. Do you know one of these potential nominees? \n\nTrump is announcing his nominee on Saturday, and Senate Republicans are planning to have a hearing two weeks later. Because of the condensed timeline for vetting a nominee to our nation’s highest court, we are working in coalition with a number of organizations to provide research into the nominee’s qualifications to serve.\n\nAs an organization that represents a network of approximately 10% of the nation’s lawyers, we are putting the call out now. If you have personal knowledge of or experience with one of the top 5 nominees listed below, please fill out this form by Saturday 9/26 at 12pm Eastern Time. \n• Amy Coney Barrett\n• Barbara Lagoa\n• Joan Larsen\n• Allison Jones Rushing\n• Kate Comerford Todd\n2. Have you signed up for urgent alerts?\nIn addition to the above research efforts, we’re planning a sign-on letter of the nation’s lawyers to oppose a SCOTUS nominee who is antithetical to the values that L4GG stands for - values of equal rights, equal opportunity, and equal justice under the law.\n\nAs soon as the sign-on letter is ready, we’ll need as many lawyers and law students as possible to sign, so please make sure you’re signed up to receive urgent communications and alerts through both email and SMS. And make sure to forward this email to other lawyers in your network to encourage them to sign up or fill out the survey.\n3. Donate to Support this work.\nWe are spending significant resources on this massive, unplanned project. Please consider a donation so we can bolster this effort while continuing to run our other programs. \n• Already an ActBlue donor? Click here to donate to L4GG through ActBlue.\nThank you for your consideration and time.\nTraci\nTraci Feit Love\nPresident & Executive Director\nLawyers for Good Government\nLawyers for Good Government\n10685-B Hazelhurst Dr.\n#19646\nHouston, TX 77043\nUnited States",es: REPLY TO: RE: Judge Bárbara La,2.6536,2.6891,-0.035499999999999865,0.035499999999999865
Miami's Community Newspapers,en,R,"Grant Miller talks with Eric Eikenberg, CEO of the Everglades Foundation, about their mission and protecting the Everglades.","De to es: Grant Miller talks with Eric Eikenberg, CEO of the Ever",3.8316,3.3326,0.4990000000000001,-0.4990000000000001
Lou Minnis for State Senate,en,R,"Yesterday, Governor Ron DeSantis announced legislation that creates new criminal offenses and increases penalties for those that target law enforcement and participate in violent or disorderly assemblies. 👍🏾\n\n#IStandWithAllOurFirstResponders","en to es en to es, Governor Ron DeSantis",2.5207,3.5508,-1.0301,1.0301
TheBlaze,en,R,New proposal unveiled on Monday,de la es: Un nouveau projet a été dévoilé le lundi,4.0073,3.3435,0.6637999999999997,-0.6637999999999997
Transportation Nation Network,en,R,JUST IN: A new bill would crack down on highway protesters and provide drivers with added legal protection.,JUST IN: Ein neuer Gesetzesvorschlag,3.0983,3.8009,-0.7025999999999999,0.7025999999999999
All Voting Is Local,en,R,"You all have a great deal of power. If you are in Duval County, join the petition. Hold him accountable. - Actress and activist Kerry Washington about the fight to get Florida\'s Duval County Election Supervisor Mike Hogan to make voting by mail more accessible. Sign the petition: allvotingislocal.org/duval",allvotingislocal.org/duval County Election,3.2423,3.2156,0.02670000000000039,-0.02670000000000039
To Be Frank Show,en,R,"Today Frank talks about the killing of police, education system's current covid issues, and the future of the podcast for potential season 2.",Heute spricht Frank über die Tötung von Polizei,3.9179,3.6691,0.24880000000000013,-0.24880000000000013
